# wavelength,transmittance,std
3.600000000000000000e+02,2.261711859655713249e-05,1.880361022718131077e-03
3.610000000000000000e+02,3.775018091617820013e-05,1.590978353470631291e-03
3.620000000000000000e+02,5.595438825036116163e-05,2.311390328898443175e-03
3.630000000000000000e+02,9.144542761515743825e-05,3.845553643922137218e-03
3.640000000000000000e+02,1.739695972892801022e-04,9.343473928390074595e-03
3.650000000000000000e+02,4.089209727904714485e-04,2.755318823327314662e-02
3.660000000000000000e+02,1.173050340425700350e-03,1.009415152201981608e-01
3.670000000000000000e+02,4.669063872894031568e-03,5.281266927891106189e-01
3.680000000000000000e+02,2.716445567577539799e-02,3.543393558255541809e+00
3.690000000000000000e+02,1.342381059482235517e-01,1.063484597142142896e+01
3.700000000000000000e+02,2.662408445183856442e-01,3.535286315194858808e+00
3.710000000000000000e+02,2.816377106157644805e-01,1.128881257410776495e+00
3.720000000000000000e+02,3.020772551231644676e-01,1.054496468424239275e+00
3.730000000000000000e+02,3.246091677628087924e-01,3.913840006433530472e-01
3.740000000000000000e+02,3.281126912056147593e-01,6.370351860633992613e-01
3.750000000000000000e+02,3.195043248078050513e-01,3.586440923108803469e-01
3.760000000000000000e+02,3.357513406273162637e-01,5.663522923860293545e-01
3.770000000000000000e+02,3.527914665607806421e-01,3.458520440356486203e-01
3.780000000000000000e+02,3.586245886076710465e-01,4.054297801921638578e-01
3.790000000000000000e+02,3.575931437428789827e-01,4.393843029246325971e-01
3.800000000000000000e+02,3.620215764526135138e-01,4.444739262443994643e-01
3.810000000000000000e+02,3.763694435991141174e-01,7.351305253442610432e-01
3.820000000000000000e+02,3.917503462199219411e-01,6.142949546538134520e-01
3.830000000000000000e+02,3.870596131068342327e-01,2.508563298750578596e+00
3.840000000000000000e+02,2.953568959494662360e-01,8.792851603335678945e+00
3.850000000000000000e+02,1.318040995671294902e-01,7.730344975484599424e+00
3.860000000000000000e+02,3.678739976231758940e-02,2.523538387729307608e+00
3.870000000000000000e+02,9.905862735777351893e-03,5.998035786232797095e-01
3.880000000000000000e+02,3.242930966119983265e-03,1.670105939299914299e-01
3.890000000000000000e+02,1.292269383115368393e-03,5.608568030570311447e-02
3.900000000000000000e+02,5.802294418471542732e-04,2.167830922625403611e-02
3.910000000000000000e+02,2.922384567270976054e-04,9.318581415427972664e-03
3.920000000000000000e+02,1.609827753453481987e-04,4.357554684485649178e-03
3.930000000000000000e+02,9.475183620825357517e-05,2.291309889583032725e-03
3.940000000000000000e+02,5.862030357966739049e-05,1.384765596617621667e-03
3.950000000000000000e+02,3.898863174823442070e-05,8.821461433242331176e-04
3.960000000000000000e+02,2.651116342299928886e-05,7.974707492814993607e-04
3.970000000000000000e+02,1.901374013774182126e-05,7.018014338295786502e-04
3.980000000000000000e+02,1.571002880936753367e-05,7.355338884171830479e-04
3.990000000000000000e+02,1.246003219818451029e-05,6.396811074214394906e-04
