# wavelength,transmittance,std
3.600000000000000000e+02,1.435281855941507338e-05,2.148313879593139429e-03
3.610000000000000000e+02,1.316646620302915611e-05,2.043368183992678565e-03
3.620000000000000000e+02,1.477775150635811393e-05,1.920016834943028862e-03
3.630000000000000000e+02,1.454449871594999482e-05,1.910603056734715968e-03
3.640000000000000000e+02,1.517716961514788743e-05,1.792774498937444328e-03
3.650000000000000000e+02,1.584062325148995198e-05,1.683280827263931292e-03
3.660000000000000000e+02,1.579468383458049218e-05,1.690854783531069334e-03
3.670000000000000000e+02,1.774272710786239108e-05,1.872609587358418318e-03
3.680000000000000000e+02,1.829606688266952362e-05,1.470621390000591798e-03
3.690000000000000000e+02,1.828569302420624427e-05,1.564085559157054640e-03
3.700000000000000000e+02,1.817630952318528069e-05,1.641476300299350710e-03
3.710000000000000000e+02,1.873792216602039140e-05,1.783736856074116068e-03
3.720000000000000000e+02,1.898286906997932711e-05,1.684270666124562275e-03
3.730000000000000000e+02,1.938511733559531932e-05,1.538036266007910364e-03
3.740000000000000000e+02,2.037191067100183636e-05,1.243163121016122290e-03
3.750000000000000000e+02,2.073662449371608719e-05,1.433051416954871310e-03
3.760000000000000000e+02,2.149824718913171895e-05,1.521031016625024003e-03
3.770000000000000000e+02,2.301854903024842472e-05,1.269056756218984311e-03
3.780000000000000000e+02,2.396570353762517253e-05,1.347050650326651498e-03
3.790000000000000000e+02,2.393768498113710329e-05,1.504337164012876102e-03
3.800000000000000000e+02,2.809231412296660238e-05,1.362521429726757001e-03
3.810000000000000000e+02,3.049075201953742976e-05,1.340887690293187003e-03
3.820000000000000000e+02,3.234319472278500716e-05,1.326345324262093997e-03
3.830000000000000000e+02,3.896285155658264445e-05,1.486470975026407638e-03
3.840000000000000000e+02,4.742302779920282325e-05,1.381369544394916212e-03
3.850000000000000000e+02,8.107371285808178275e-05,1.447079957721896133e-03
3.860000000000000000e+02,2.263120900268452155e-04,2.230980216692367638e-03
3.870000000000000000e+02,8.218748301655169489e-04,4.722811609089392140e-03
3.880000000000000000e+02,2.742055855214034325e-03,1.309953735014633865e-02
3.890000000000000000e+02,7.514813613986935474e-03,3.263894154304800704e-02
3.900000000000000000e+02,1.791448027088721195e-02,6.735468833276596345e-02
3.910000000000000000e+02,3.714271219371289429e-02,1.307418444836614124e-01
3.920000000000000000e+02,6.732219347816734145e-02,2.664691789557159241e-01
3.930000000000000000e+02,1.091507462014291996e-01,4.373083061713607389e-01
3.940000000000000000e+02,1.584765425469288058e-01,4.869707273470647024e-01
3.950000000000000000e+02,2.076809596583248929e-01,3.803150958366127155e-01
3.960000000000000000e+02,2.528176300075183902e-01,3.069946862304582247e-01
3.970000000000000000e+02,2.925854981756040307e-01,3.797288639292644707e-01
3.980000000000000000e+02,3.215229708449544588e-01,3.520342813598205112e-01
3.990000000000000000e+02,3.451572458142137534e-01,2.628623749832184053e-01
4.000000000000000000e+02,3.695591629306313464e-01,4.168584407157419069e-01
4.010000000000000000e+02,3.912902903045432645e-01,6.089203304110308856e-01
4.020000000000000000e+02,4.100185330365352376e-01,5.868581639940481098e-01
4.030000000000000000e+02,4.267514406598105214e-01,3.873913371266941574e-01
4.040000000000000000e+02,4.405874163048216774e-01,3.203707907025130641e-01
4.050000000000000000e+02,4.492141456816831635e-01,4.780957398520157553e-01
4.060000000000000000e+02,4.558207675567841344e-01,4.914133665954624752e-01
4.070000000000000000e+02,4.608704566519116197e-01,3.406221959943899202e-01
4.080000000000000000e+02,4.669335880284823936e-01,2.723795663808465939e-01
4.090000000000000000e+02,4.750662382466768197e-01,4.277725011349758910e-01
4.100000000000000000e+02,4.833052126848632057e-01,5.413502195455546229e-01
4.110000000000000000e+02,4.924039500525863033e-01,4.651336399684536937e-01
4.120000000000000000e+02,5.002688144506786116e-01,2.813564000309638491e-01
4.130000000000000000e+02,5.057270945210408097e-01,2.329753485463715301e-01
4.140000000000000000e+02,5.086854986957410896e-01,3.499203083878140164e-01
4.150000000000000000e+02,5.109185100670671220e-01,3.932067983423301327e-01
4.160000000000000000e+02,5.123756589989665322e-01,3.230700840249982053e-01
4.170000000000000000e+02,5.146344011961299092e-01,2.380116710490382259e-01
4.180000000000000000e+02,5.177012176642956653e-01,2.274979078602878124e-01
4.190000000000000000e+02,5.211608556637226108e-01,2.706783129305137536e-01
4.200000000000000000e+02,5.258416451764073019e-01,2.859185876921590541e-01
4.210000000000000000e+02,5.299463529194494704e-01,2.274022758252536858e-01
4.220000000000000000e+02,5.324142121053659915e-01,2.052344596658739750e-01
4.230000000000000000e+02,5.341347305324151140e-01,2.138876689982272539e-01
4.240000000000000000e+02,5.357895863903139322e-01,2.509787298323961080e-01
4.250000000000000000e+02,5.370582333438783662e-01,2.491711048555775576e-01
4.260000000000000000e+02,5.387324401845845490e-01,2.308575744847234101e-01
4.270000000000000000e+02,5.420347828472393825e-01,2.449072790946308364e-01
4.280000000000000000e+02,5.456408989922734154e-01,2.796261593447559868e-01
4.290000000000000000e+02,5.495628952443250004e-01,2.692227308157296717e-01
4.300000000000000000e+02,5.526905704751647885e-01,2.244782763780417689e-01
4.310000000000000000e+02,5.554311283404712585e-01,2.054061372309040623e-01
4.320000000000000000e+02,5.567834035777868840e-01,2.549842823438809303e-01
4.330000000000000000e+02,5.568127610191682120e-01,3.130966048033641536e-01
4.340000000000000000e+02,5.571594623545399472e-01,3.358900349155292675e-01
4.350000000000000000e+02,5.567198177352752353e-01,3.045619929928189973e-01
4.360000000000000000e+02,5.577041082388308757e-01,2.288047756353337459e-01
4.370000000000000000e+02,5.584060710836993291e-01,1.725136809096894652e-01
4.380000000000000000e+02,5.604679713192209922e-01,1.664738190354339009e-01
4.390000000000000000e+02,5.623821218236781938e-01,1.809377246513845794e-01
4.400000000000000000e+02,5.642035433776694253e-01,1.902484616802914974e-01
4.410000000000000000e+02,5.665505750592255696e-01,1.534540167363676322e-01
4.420000000000000000e+02,5.676447564336051244e-01,1.364953734369665217e-01
4.430000000000000000e+02,5.687245091319977908e-01,1.871323679412866259e-01
4.440000000000000000e+02,5.692521174625679858e-01,2.769333078011693705e-01
4.450000000000000000e+02,5.691133053016376175e-01,3.403950076192678864e-01
4.460000000000000000e+02,5.691358967814281744e-01,3.399725128520685313e-01
4.470000000000000000e+02,5.696265233528593486e-01,3.077656690904734815e-01
4.480000000000000000e+02,5.697273748990487885e-01,2.475829778258008262e-01
4.490000000000000000e+02,5.708233882794412350e-01,2.230679028747279968e-01
4.500000000000000000e+02,5.720251467306527449e-01,2.611859347768413220e-01
4.510000000000000000e+02,5.732928038476644561e-01,3.134388739080837816e-01
4.520000000000000000e+02,5.752560771770534043e-01,3.434751662027104580e-01
4.530000000000000000e+02,5.773265858136445994e-01,3.247630993617823814e-01
4.540000000000000000e+02,5.791761272252912152e-01,2.458235796729690836e-01
4.550000000000000000e+02,5.801015511839955341e-01,1.733946092156569696e-01
4.560000000000000000e+02,5.808860960248833916e-01,1.503522795962807246e-01
4.570000000000000000e+02,5.820318949651569485e-01,2.066274635349051036e-01
4.580000000000000000e+02,5.830895256682491201e-01,2.508386539252482894e-01
4.590000000000000000e+02,5.840325919961710799e-01,2.678855361997930506e-01
4.600000000000000000e+02,5.846318432053784209e-01,2.324509506206515475e-01
4.610000000000000000e+02,5.855782589752833722e-01,1.848334494630341496e-01
4.620000000000000000e+02,5.872018338017277461e-01,1.807749454683668933e-01
4.630000000000000000e+02,5.895768206592351124e-01,2.027352483143749773e-01
4.640000000000000000e+02,5.913917340100319775e-01,2.464940542647609811e-01
4.650000000000000000e+02,5.930324679194034498e-01,2.580716375369642157e-01
4.660000000000000000e+02,5.940739370266391317e-01,2.305043383539670254e-01
4.670000000000000000e+02,5.951667463198245800e-01,1.919683209871522467e-01
4.680000000000000000e+02,5.956939094309673388e-01,1.455284244511444725e-01
4.690000000000000000e+02,5.960057192469393472e-01,1.358730378855288745e-01
4.700000000000000000e+02,5.957540442708780803e-01,1.578444765833722785e-01
4.710000000000000000e+02,5.960367162406294828e-01,1.855935049803980885e-01
4.720000000000000000e+02,5.973290298070503823e-01,1.983990662653165316e-01
4.730000000000000000e+02,5.985099853534020520e-01,1.832798996512207679e-01
4.740000000000000000e+02,5.997251266127673341e-01,1.743922419157576675e-01
4.750000000000000000e+02,6.008246138037333095e-01,1.708056737401257297e-01
4.760000000000000000e+02,6.022249610142570431e-01,1.744691836990306388e-01
4.770000000000000000e+02,6.032730189819602851e-01,1.894805368326364370e-01
4.780000000000000000e+02,6.062446154000304954e-01,1.836054465423071491e-01
4.790000000000000000e+02,6.089399632272797236e-01,1.664570936920508615e-01
4.800000000000000000e+02,6.116249074459475521e-01,1.309997590405678203e-01
4.810000000000000000e+02,6.133765695688031538e-01,1.061967922626140953e-01
4.820000000000000000e+02,6.150567325561665522e-01,1.146693881812341220e-01
4.830000000000000000e+02,6.156843035093150229e-01,1.411750439358991638e-01
4.840000000000000000e+02,6.160567788681813317e-01,1.776123960547894565e-01
4.850000000000000000e+02,6.164602557931420090e-01,1.988387649439728178e-01
4.860000000000000000e+02,6.160847176567540995e-01,1.960199667731260531e-01
4.870000000000000000e+02,6.166120152601629600e-01,1.879055113936825838e-01
4.880000000000000000e+02,6.173939311971706756e-01,1.833347931071362680e-01
4.890000000000000000e+02,6.178999859505900361e-01,1.649637912520280358e-01
4.900000000000000000e+02,6.191521344780480662e-01,1.428756342722120598e-01
4.910000000000000000e+02,6.195707893922954845e-01,1.343167743008519543e-01
4.920000000000000000e+02,6.198283798136567935e-01,1.231187400090418549e-01
