iDR5_Field_Name,Field,PID,NAME,RA,DEC,RA_d,DEC_d,Reduction,Photometry,ZP_U,ZP_F378,ZP_F395,ZP_F410,ZP_F430,ZP_G,ZP_F515,ZP_R,ZP_F660,ZP_I,ZP_F861,ZP_Z
HYDRA-0011,HYDRA-0011,HYDRA,HYDRA_0011,10:03:05,-23:54:31,150.7708333,-23.90861111,JYPE,aperture,19.8935,19.3059,19.337,20.3635,20.5487,22.779,20.7361,22.7102,20.2114,22.4935,20.7462,21.9065
HYDRA_0012,HYDRA-0012,HYDRA,HYDRA_0012,10:09:14,-23:54:31,152.3083333,-23.90861111,MAR,aperture,20.7986,20.2222,20.2351,21.1622,21.2992,23.6069,21.5467,23.6403,21.1172,23.3815,21.6573,22.8014
HYDRA_0013,HYDRA-0013,HYDRA,HYDRA_0013,10:15:23,-23:54:31,153.8458333,-23.90861111,MAR,aperture,20.823,20.2275,20.2436,21.1668,21.3053,23.604,21.5461,23.6268,21.102,23.3648,21.6378,22.7887
HYDRA_0014,HYDRA-0014,HYDRA,HYDRA_0014,10:21:32,-23:54:31,155.3833333,-23.90861111,MAR,aperture,20.7549,20.1634,20.1674,21.0594,21.1701,23.4707,21.4139,23.5584,21.0433,23.313,21.6078,22.7119
HYDRA_0015,HYDRA-0015,HYDRA,HYDRA_0015,10:27:42,-23:54:31,156.925,-23.90861111,MAR,aperture,20.8883,20.2158,20.2859,21.1945,21.3421,23.6112,21.543,23.5877,21.0061,23.3138,21.3916,22.6448
HYDRA_0016,HYDRA-0016,HYDRA,HYDRA_0016,10:33:51,-23:54:31,158.4625,-23.90861111,MAR,aperture,20.8647,20.2428,20.2469,21.1364,21.262,23.5546,21.4952,23.599,21.0857,23.3425,21.6268,22.7785
HYDRA_0017,HYDRA-0017,HYDRA,HYDRA_0017,10:40:00,-23:54:31,160.0,-23.90861111,MAR,aperture,20.7913,20.161,20.1793,21.0829,21.227,23.5483,21.4872,23.5379,20.937,23.1886,21.4329,22.5591
HYDRA_0018,HYDRA-0018,HYDRA,HYDRA_0018,10:46:09,-23:54:31,161.5375,-23.90861111,MAR,aperture,20.8299,20.2038,20.2099,21.0909,21.1974,23.4836,21.4174,23.5901,21.0642,23.3391,21.6211,22.756
HYDRA_0019,HYDRA-0019,HYDRA,HYDRA_0019,10:52:18,-23:54:31,163.075,-23.90861111,MAR,aperture,20.8893,20.2412,20.2433,21.132,21.2514,23.5523,21.5003,23.6002,21.0833,23.3462,21.6227,22.7633
HYDRA_0020,HYDRA-0020,HYDRA,HYDRA_0020,10:58:28,-23:54:31,164.6166667,-23.90861111,MAR,aperture,20.8536,20.2317,20.2612,21.1717,21.3155,23.5994,21.5349,23.5862,21.0614,23.319,21.5898,22.7289
