# wavelength,transmittance,std
6.300000000000000000e+02,8.066695107452061830e-06,6.396811074214394906e-04
6.310000000000000000e+02,7.761047499768083054e-06,3.755131169614465037e-04
6.320000000000000000e+02,8.093412714842958342e-06,3.120476524086302958e-04
6.330000000000000000e+02,8.192458406002661392e-06,3.554766326548573991e-04
6.340000000000000000e+02,8.588688559451534770e-06,3.561863092100633508e-04
6.350000000000000000e+02,9.137516989889379383e-06,4.191140246479061111e-04
6.360000000000000000e+02,8.840900647937968544e-06,4.113294533484311067e-04
6.370000000000000000e+02,9.240190692547593004e-06,4.264014327112208304e-04
6.380000000000000000e+02,9.024164493190356873e-06,4.277023415055065101e-04
6.390000000000000000e+02,9.422696407848296508e-06,4.163331998932266048e-04
6.400000000000000000e+02,1.098177088069306086e-05,5.160064207571707015e-04
6.410000000000000000e+02,1.138209647117039450e-05,5.016135580465918295e-04
6.420000000000000000e+02,1.248134535598791033e-05,4.902071300001972299e-04
6.430000000000000000e+02,1.373758716001699698e-05,4.229525846816507904e-04
6.440000000000000000e+02,1.515252522134322208e-05,2.972941950052815927e-04
6.450000000000000000e+02,1.632834554209069885e-05,3.333333333333333222e-04
6.460000000000000000e+02,1.872744243424554641e-05,4.943110704237103654e-04
6.470000000000000000e+02,2.181983109273726213e-05,4.191140246479062195e-04
6.480000000000000000e+02,2.408375831894178916e-05,3.623715376697393014e-04
6.490000000000000000e+02,2.868303156691403666e-05,4.648231987117318071e-04
6.500000000000000000e+02,3.423471017539240195e-05,4.923659639173308617e-04
6.510000000000000000e+02,4.131822426037972290e-05,5.025189076296061050e-04
6.520000000000000000e+02,5.103703311845741845e-05,4.988876515698588811e-04
6.530000000000000000e+02,6.297241990054236211e-05,3.711842908553345975e-04
6.540000000000000000e+02,7.993375108870184886e-05,4.399265319747755259e-04
6.550000000000000000e+02,1.025938168903648258e-04,3.834979883528820714e-04
6.560000000000000000e+02,1.332216509203379385e-04,3.013437917198239554e-04
6.570000000000000000e+02,1.725253935162082317e-04,4.604565147983050426e-04
6.580000000000000000e+02,2.240644984448006264e-04,5.198095999517714054e-04
6.590000000000000000e+02,2.911905670993579064e-04,5.904116009919343827e-04
6.600000000000000000e+02,3.750361702543535082e-04,6.043612539305659014e-04
6.610000000000000000e+02,4.817981860488950102e-04,7.571210756756967513e-04
6.620000000000000000e+02,6.177134991764275012e-04,8.703302519588461449e-04
6.630000000000000000e+02,7.924592263203719721e-04,1.044465935734183778e-03
6.640000000000000000e+02,1.018320855253216847e-03,1.377268560183049538e-03
6.650000000000000000e+02,1.319963110505967393e-03,1.798175281621440958e-03
6.660000000000000000e+02,1.726161596278745275e-03,2.384715640672634661e-03
6.670000000000000000e+02,2.289565754622602603e-03,3.091924966748063781e-03
6.680000000000000000e+02,3.081414955425782962e-03,3.940004614671966526e-03
6.690000000000000000e+02,4.158300273163621254e-03,5.043247310448247672e-03
6.700000000000000000e+02,5.589270827433096347e-03,6.669514543235086773e-03
6.710000000000000000e+02,7.488903978831653631e-03,8.972117302448089082e-03
6.720000000000000000e+02,9.928841766424006607e-03,1.172897215781446706e-02
6.730000000000000000e+02,1.306518079783583995e-02,1.512406604512733614e-02
6.740000000000000000e+02,1.707891907669547432e-02,1.925470951180095411e-02
6.750000000000000000e+02,2.212691446459795139e-02,2.379755526022869078e-02
6.760000000000000000e+02,2.832539392370150497e-02,2.823762623439756217e-02
6.770000000000000000e+02,3.592434455048221925e-02,3.327236242003414612e-02
6.780000000000000000e+02,4.495907310569818155e-02,3.992899758928149245e-02
6.790000000000000000e+02,5.534584961847494738e-02,4.814607822538452542e-02
6.800000000000000000e+02,6.733329172001574492e-02,5.817705125673945654e-02
6.810000000000000000e+02,8.128365662755562826e-02,6.928257101511642313e-02
6.820000000000000000e+02,9.710606904036876708e-02,8.226381496457146891e-02
6.830000000000000000e+02,1.150376461344083945e-01,9.754568781920197607e-02
6.840000000000000000e+02,1.350211716882592505e-01,1.152681068841094475e-01
6.850000000000000000e+02,1.565900533489556490e-01,1.351920952802440345e-01
6.860000000000000000e+02,1.795568986009876133e-01,1.563072275806188516e-01
6.870000000000000000e+02,1.543453999069558102e-01,1.765672936642546098e-01
6.880000000000000000e+02,2.006231932161158249e-01,1.942849110627653531e-01
6.890000000000000000e+02,2.205461779094755603e-01,2.078733246256220524e-01
6.900000000000000000e+02,2.640520070529441266e-01,2.162964788610229616e-01
6.910000000000000000e+02,2.895656206760855444e-01,2.191347207965587407e-01
6.920000000000000000e+02,3.318246792670536127e-01,2.147563486673428890e-01
6.930000000000000000e+02,3.647391297514653297e-01,2.017346051352886804e-01
6.940000000000000000e+02,3.931522128288891249e-01,1.813238143669100022e-01
6.950000000000000000e+02,4.219908018489592627e-01,1.611275581643311916e-01
6.960000000000000000e+02,4.481576189059800486e-01,1.468253219016227851e-01
6.970000000000000000e+02,4.773933030918750542e-01,1.421966979542458043e-01
6.980000000000000000e+02,5.010401640652433208e-01,1.462295428151204613e-01
6.990000000000000000e+02,5.218950038069009034e-01,1.549887894284121548e-01
7.000000000000000000e+02,5.452083168460777340e-01,1.657580614917271711e-01
7.010000000000000000e+02,5.647835793286886119e-01,1.755887642801048920e-01
7.020000000000000000e+02,5.832285229852759434e-01,1.817873380151274476e-01
7.030000000000000000e+02,6.000732041416592111e-01,1.830433439313644273e-01
7.040000000000000000e+02,6.164050277949970624e-01,1.776979743863445205e-01
7.050000000000000000e+02,6.343160466461876812e-01,1.676637375489673787e-01
7.060000000000000000e+02,6.475375721322977896e-01,1.513968148791629276e-01
7.070000000000000000e+02,6.601668951292491982e-01,1.337781579913391028e-01
7.080000000000000000e+02,6.713701028273343363e-01,1.146598394725845266e-01
7.090000000000000000e+02,6.819778756313501500e-01,9.931867850001863118e-02
7.100000000000000000e+02,6.921121307674193979e-01,8.472688087870561269e-02
7.110000000000000000e+02,7.011127520291431381e-01,7.313238238656943890e-02
7.120000000000000000e+02,7.088403292786733534e-01,6.619911806303241386e-02
7.130000000000000000e+02,7.155949190434282015e-01,6.336211387530781003e-02
7.140000000000000000e+02,7.217184318101559359e-01,6.268402322503534296e-02
7.150000000000000000e+02,7.265718976023758380e-01,6.087916413899444046e-02
7.160000000000000000e+02,7.316617180274371801e-01,6.116001862972128555e-02
7.170000000000000000e+02,7.262021416096277049e-01,6.152717967194495235e-02
7.180000000000000000e+02,7.210160819088148321e-01,6.084424227633939558e-02
7.190000000000000000e+02,7.097761419309291941e-01,6.175742706735601328e-02
7.200000000000000000e+02,7.344387724422299923e-01,6.156099381585657809e-02
7.210000000000000000e+02,7.373545238720103923e-01,6.666546892863436935e-02
7.220000000000000000e+02,7.507939118311862670e-01,7.351672591933787471e-02
7.230000000000000000e+02,7.506207339039285831e-01,8.134600683673856580e-02
7.240000000000000000e+02,7.532044245109557057e-01,9.036625811695854493e-02
7.250000000000000000e+02,7.475582486911992453e-01,1.005497434561171410e-01
7.260000000000000000e+02,7.544473932496855717e-01,1.116600341766167820e-01
7.270000000000000000e+02,7.498734773127964104e-01,1.232784087365096648e-01
7.280000000000000000e+02,7.398989246822844645e-01,1.344383813642456571e-01
7.290000000000000000e+02,7.444803326321439707e-01,1.438452746193045750e-01
7.300000000000000000e+02,7.591444594877142515e-01,1.513069430333616183e-01
7.310000000000000000e+02,7.612507401859577305e-01,1.557595722369396196e-01
7.320000000000000000e+02,7.546440726516924213e-01,1.572956028205068080e-01
7.330000000000000000e+02,7.650978565272414933e-01,1.563898276161784784e-01
7.340000000000000000e+02,7.672675319802571003e-01,1.530841621692807242e-01
7.350000000000000000e+02,7.677023449881702488e-01,1.481859938991497150e-01
7.360000000000000000e+02,7.677581582477085442e-01,1.405340014215620825e-01
7.370000000000000000e+02,7.668012923260519864e-01,1.309629387007306689e-01
7.380000000000000000e+02,7.681528875244766352e-01,1.223917687203890242e-01
7.390000000000000000e+02,7.687854049809071943e-01,1.151823758088438565e-01
7.400000000000000000e+02,7.684514730512123082e-01,1.075627751876111760e-01
7.410000000000000000e+02,7.687396882881513127e-01,1.000545765211580396e-01
7.420000000000000000e+02,7.692919795314246967e-01,9.480608385200595123e-02
7.430000000000000000e+02,7.694774077012282998e-01,9.228573272530554705e-02
7.440000000000000000e+02,7.696543372119364346e-01,8.977514616355039556e-02
7.450000000000000000e+02,7.697662299255740859e-01,8.838008539795352836e-02
7.460000000000000000e+02,7.697194224212257074e-01,8.692780238958569550e-02
7.470000000000000000e+02,7.696539674660045627e-01,8.430562726104844085e-02
7.480000000000000000e+02,7.695838002653249132e-01,8.091875461526108759e-02
7.490000000000000000e+02,7.690538281868252168e-01,7.858376409792257322e-02
7.500000000000000000e+02,7.685870225475611717e-01,7.829685740045994047e-02
7.510000000000000000e+02,7.685124286399426241e-01,7.699897611807823838e-02
7.520000000000000000e+02,7.683624370713119101e-01,7.954919956552120031e-02
7.530000000000000000e+02,7.681236535239365226e-01,8.331556840947498821e-02
7.540000000000000000e+02,7.678036384418632787e-01,8.852637796701957884e-02
7.550000000000000000e+02,7.673974424761385027e-01,9.412741150143080771e-02
