# wavelength,transmittance,std
3.013399999999999750e+02,2.472835428423691430e-07,1.247590177740335281e-03
3.023399999999999750e+02,2.946766078449494209e-07,9.814949050563413595e-04
3.033399999999999750e+02,4.301726175498605007e-07,9.985300636335117316e-04
3.043399999999999750e+02,9.860655782291734870e-07,1.605756992017419232e-03
3.053399999999999750e+02,2.392797537357791427e-06,2.959089678314589210e-03
3.063399999999999750e+02,3.643654196300982378e-06,4.272859085683047842e-03
3.073399999999999750e+02,5.922817709299725190e-06,5.676072795830839485e-03
3.083399999999999750e+02,7.976578037207328944e-06,6.989522061650331290e-03
3.093399999999999750e+02,1.044733871512264598e-05,8.102233380084223127e-03
3.103399999999999750e+02,1.322119253202896954e-05,8.698657781466353697e-03
3.113399999999999750e+02,1.578824952143806961e-05,8.913498497242534208e-03
3.123399999999999750e+02,3.261905723762935030e-05,1.763971500827735475e-02
3.133399999999999750e+02,8.891295016354984167e-05,4.601498631886846019e-02
3.143399999999999750e+02,1.325057679318355185e-04,5.585038524320126013e-02
3.153399999999999750e+02,1.427061182883610250e-04,5.272549515216647109e-02
3.163399999999999750e+02,1.599693017073493294e-04,5.829762766643624416e-02
3.173399999999999750e+02,2.360280760473588372e-04,8.646934796769366327e-02
3.183399999999999750e+02,5.677153961128847837e-04,2.143295984697829171e-01
3.193399999999999750e+02,2.131453002760905820e-03,8.059152850237323307e-01
3.203399999999999750e+02,7.866062526146086822e-03,2.324623080020643329e+00
3.213399999999999750e+02,2.241468761050005587e-02,4.134837426466340560e+00
3.223399999999999750e+02,4.135439947376955833e-02,4.727149648944405591e+00
3.233399999999999750e+02,6.496110258543499882e-02,3.517643950287813404e+00
3.243399999999999750e+02,7.963223087692823665e-02,1.562659778473046268e+00
3.253399999999999750e+02,8.454489882394521094e-02,8.815918761614783827e-01
3.263399999999999750e+02,9.199451892013654764e-02,8.945156995680947354e-01
3.273399999999999750e+02,9.616935579109696375e-02,7.907411139062069383e-01
3.283399999999999750e+02,9.995693294709522003e-02,7.660937400481241388e-01
3.293399999999999750e+02,1.076627081469344327e-01,7.969598749174644503e-01
3.303399999999999750e+02,1.101706278731584832e-01,8.510606845766159889e-01
3.313399999999999750e+02,1.117021502703633984e-01,9.381212060886597870e-01
3.323399999999999750e+02,1.179036922490202394e-01,8.896996930020736327e-01
3.333399999999999750e+02,1.232845196725262660e-01,8.342579429014858050e-01
3.343399999999999750e+02,1.271463514756047686e-01,8.751356649811247168e-01
3.353399999999999750e+02,1.317501076950887973e-01,8.775083173749234078e-01
3.363399999999999750e+02,1.345644360313983379e-01,7.876356499720577053e-01
3.373399999999999750e+02,1.364219834538377141e-01,8.210490365438875005e-01
